,,CJ,2015-09-24 07:37:32.312000
28.5187918,77.1561141,RG,2015-09-24 07:37:32.312000
,,tools,2015-09-24 07:37:32.312000
28.4222017,77.0944767,rk,2015-09-24 07:38:15.758000
,,AB,2015-09-24 07:38:27.509000
,,ASG,2015-09-24 07:38:27.509000
,,Augusto,2015-09-24 07:38:27.509000
51.5003097,-0.1627495,ASGA,2015-09-24 07:38:27.509000
,,CJ,2015-09-24 07:38:27.509000
28.5187918,77.1561141,RG,2015-09-24 07:38:27.509000
,,tools,2015-09-24 07:38:27.509000
28.4221972,77.0945131,rk,2015-09-24 07:39:00.636000
,,AB,2015-09-24 07:39:00.636000
,,ASG,2015-09-24 07:39:00.636000
,,Augusto,2015-09-24 07:39:00.636000
51.5003097,-0.1627495,ASGA,2015-09-24 07:39:00.636000
,,CJ,2015-09-24 07:39:00.636000
28.5187918,77.1561141,RG,2015-09-24 07:39:00.636000
,,tools,2015-09-24 07:39:00.636000
28.62977,77.23041,ASG,2015-12-24 14:50:00.110000
28.65631,77.23175,AB,2015-12-24 14:50:00.145000
51.64758,-0.16545,Augusto,2015-12-24 14:50:00.146000
28.54357,77.21096,CJ,2015-12-24 14:50:00.147000
28.5187918,77.1561141,RG,2015-12-24 14:50:00.148000
,,tools,2015-12-24 14:50:00.149000
28.5119711,77.1671096,rk,2015-12-24 14:50:00.150000
28.6296351,77.2308247,ASGA,2015-12-24 14:50:00.151000
28.62977,77.23041,ASG,2015-12-28 01:48:49.790000
28.65631,77.23175,AB,2015-12-28 01:48:49.790000
51.64758,-0.16545,Augusto,2015-12-28 01:48:49.790000
28.54357,77.21096,CJ,2015-12-28 01:48:49.790000
28.5187918,77.1561141,RG,2015-12-28 01:48:49.790000
,,tools,2015-12-28 01:48:49.790000
28.5119435,77.167222,rk,2015-12-28 01:48:49.790000
28.62977,77.23041,ASG,2015-12-28 01:49:17.871000
28.65631,77.23175,AB,2015-12-28 01:49:17.871000
51.64758,-0.16545,Augusto,2015-12-28 01:49:17.886000
28.54357,77.21096,CJ,2015-12-28 01:49:17.886000
28.5187918,77.1561141,RG,2015-12-28 01:49:17.886000
,,tools,2015-12-28 01:49:17.886000
28.5119435,77.167222,rk,2015-12-28 01:49:17.886000
28.62977,77.23041,ASG,2015-12-28 01:50:03.826000
28.62977,77.23041,ASG,2015-12-28 01:50:28.474000
28.65631,77.23175,AB,2015-12-28 01:50:28.490000
51.64758,-0.16545,Augusto,2015-12-28 01:50:28.490000
28.54357,77.21096,CJ,2015-12-28 01:50:28.490000
28.5187918,77.1561141,RG,2015-12-28 01:50:28.490000
,,tools,2015-12-28 01:50:28.490000
28.5119435,77.167222,rk,2015-12-28 01:50:28.490000
28.6296351,77.2308247,ASGA,2015-12-28 01:50:28.490000
28.62977,77.23041,ASG,2015-12-28 01:50:48.252000
28.65631,77.23175,AB,2015-12-28 01:50:48.284000
51.64758,-0.16545,Augusto,2015-12-28 01:50:48.315000
28.54357,77.21096,CJ,2015-12-28 01:50:48.346000
28.5187918,77.1561141,RG,2015-12-28 01:50:48.377000
,,tools,2015-12-28 01:50:48.408000
28.5119435,77.167222,rk,2015-12-28 01:50:48.440000
28.6296351,77.2308247,ASGA,2015-12-28 01:50:48.455000
28.62977,77.23041,ASG,2015-12-28 02:06:54.261000
28.65631,77.23175,AB,2015-12-28 02:06:54.263000
51.64758,-0.16545,Augusto,2015-12-28 02:06:54.263000
28.54357,77.21096,CJ,2015-12-28 02:06:54.263000
28.5187918,77.1561141,RG,2015-12-28 02:06:54.263000
,,tools,2015-12-28 02:06:54.263000
28.5119435,77.167222,rk,2015-12-28 02:06:54.263000
28.6296351,77.2308247,ASGA,2015-12-28 02:06:54.263000
28.62977,77.23041,ASG,2015-12-28 02:44:15.969000
28.65631,77.23175,AB,2015-12-28 02:44:15.998000
51.64758,-0.16545,Augusto,2015-12-28 02:44:15.999000
28.54357,77.21096,CJ,2015-12-28 02:44:15.999000
28.5187918,77.1561141,RG,2015-12-28 02:44:16
,,tools,2015-12-28 02:44:16.001000
28.5119435,77.167222,rk,2015-12-28 02:44:16.001000
28.62977,77.23041,ASG,2015-12-28 02:44:37.686000
28.65631,77.23175,AB,2015-12-28 02:44:37.687000
51.64758,-0.16545,Augusto,2015-12-28 02:44:37.688000
28.54357,77.21096,CJ,2015-12-28 02:44:37.688000
28.5187918,77.1561141,RG,2015-12-28 02:44:37.689000
,,tools,2015-12-28 02:44:37.689000
28.5119435,77.167222,rk,2015-12-28 02:44:37.689000
28.62977,77.23041,ASG,2015-12-28 02:44:51.340000
28.65631,77.23175,AB,2015-12-28 02:44:51.344000
51.64758,-0.16545,Augusto,2015-12-28 02:44:51.345000
28.54357,77.21096,CJ,2015-12-28 02:44:51.346000
28.5187918,77.1561141,RG,2015-12-28 02:44:51.346000
,,tools,2015-12-28 02:44:51.346000
28.5119435,77.167222,rk,2015-12-28 02:44:51.347000
28.62977,77.23041,ASG,2015-12-28 02:57:08.378000
28.65631,77.23175,AB,2015-12-28 02:57:08.382000
51.64758,-0.16545,Augusto,2015-12-28 02:57:08.382000
28.54357,77.21096,CJ,2015-12-28 02:57:08.383000
28.5187918,77.1561141,RG,2015-12-28 02:57:08.384000
,,tools,2015-12-28 02:57:08.384000
28.5119435,77.167222,rk,2015-12-28 02:57:08.385000
28.62977,77.23041,ASG,2015-12-28 02:58:13.571000
28.65631,77.23175,AB,2015-12-28 02:58:13.573000
51.64758,-0.16545,Augusto,2015-12-28 02:58:13.574000
28.54357,77.21096,CJ,2015-12-28 02:58:13.574000
28.5187918,77.1561141,RG,2015-12-28 02:58:13.576000
,,tools,2015-12-28 02:58:13.577000
28.5119435,77.167222,rk,2015-12-28 02:58:13.577000
28.6296351,77.2308247,ASGA,2015-12-28 02:58:13.579000
28.62977,77.23041,ASG,2015-12-28 02:58:35.264000
28.65631,77.23175,AB,2015-12-28 02:58:35.266000
51.64758,-0.16545,Augusto,2015-12-28 02:58:35.267000
28.54357,77.21096,CJ,2015-12-28 02:58:35.267000
28.5187918,77.1561141,RG,2015-12-28 02:58:35.267000
,,tools,2015-12-28 02:58:35.268000
28.5119435,77.167222,rk,2015-12-28 02:58:35.268000
28.6296351,77.2308247,ASGA,2015-12-28 02:58:35.269000
28.62977,77.23041,ASG,2015-12-28 03:00:44.092000
28.65631,77.23175,AB,2015-12-28 03:00:44.095000
51.64758,-0.16545,Augusto,2015-12-28 03:00:44.096000
28.54357,77.21096,CJ,2015-12-28 03:00:44.096000
28.5187918,77.1561141,RG,2015-12-28 03:00:44.097000
,,tools,2015-12-28 03:00:44.097000
28.5119435,77.167222,rk,2015-12-28 03:00:44.097000
28.6296351,77.2308247,ASGA,2015-12-28 03:00:44.099000
28.62977,77.23041,ASG,2015-12-28 03:02:07.770000
28.65631,77.23175,AB,2015-12-28 03:02:07.773000
51.64758,-0.16545,Augusto,2015-12-28 03:02:07.773000
28.54357,77.21096,CJ,2015-12-28 03:02:07.773000
28.5187918,77.1561141,RG,2015-12-28 03:02:07.773000
,,tools,2015-12-28 03:02:07.774000
28.5119435,77.167222,rk,2015-12-28 03:02:07.774000
28.6296351,77.2308247,ASGA,2015-12-28 03:02:07.775000
28.62977,77.23041,ASG,2015-12-28 03:11:37.122000
28.62977,77.23041,ASG,2015-12-28 03:13:18.887000
28.62977,77.23041,ASG,2015-12-28 03:13:47.192000
28.62977,77.23041,ASG,2015-12-28 03:19:56.478000
28.62977,77.23041,ASG,2015-12-28 03:20:57.303000
28.62977,77.23041,ASG,2015-12-28 03:21:26.771000
28.62977,77.23041,ASG,2015-12-28 03:22:00.661000
28.65631,77.23175,AB,2015-12-28 03:22:00.784000
51.64758,-0.16545,Augusto,2015-12-28 03:22:00.784000
28.54357,77.21096,CJ,2015-12-28 03:22:00.785000
28.5187918,77.1561141,RG,2015-12-28 03:22:00.785000
,,tools,2015-12-28 03:22:00.785000
28.5119435,77.167222,rk,2015-12-28 03:22:00.785000
28.6296351,77.2308247,ASGA,2015-12-28 03:22:00.865000
28.62977,77.23041,ASG,2015-12-28 03:22:47.250000
28.65631,77.23175,AB,2015-12-28 03:22:47.253000
51.64758,-0.16545,Augusto,2015-12-28 03:22:47.253000
28.54357,77.21096,CJ,2015-12-28 03:22:47.254000
28.5187918,77.1561141,RG,2015-12-28 03:22:47.254000
,,tools,2015-12-28 03:22:47.254000
28.5119435,77.167222,rk,2015-12-28 03:22:47.255000
28.6296351,77.2308247,ASGA,2015-12-28 03:22:47.257000
28.62977,77.23041,ASG,2015-12-28 15:21:24.875000
28.62977,77.23041,ASG,2015-12-28 15:25:29.670000
28.62977,77.23041,ASG,2015-12-28 15:26:03.814000
28.62977,77.23041,ASG,2015-12-28 15:26:35.568000
28.62977,77.23041,ASG,2015-12-28 15:28:27.197000
28.62977,77.23041,ASG,2015-12-28 15:33:14.647000
28.62977,77.23041,ASG,2015-12-28 15:34:26.301000
28.62977,77.23041,ASG,2015-12-28 15:34:40.860000
28.62977,77.23041,ASG,2015-12-28 15:35:50.464000
28.65631,77.23175,AB,2015-12-28 15:35:54.603000
51.64758,-0.16545,Augusto,2015-12-28 15:35:54.618000
28.54357,77.21096,CJ,2015-12-28 15:35:54.618000
28.5187918,77.1561141,RG,2015-12-28 15:35:54.618000
,,tools,2015-12-28 15:35:54.618000
28.5119435,77.167222,rk,2015-12-28 15:35:54.618000
28.6296351,77.2308247,ASGA,2015-12-28 15:35:57.911000
28.62977,77.23041,ASG,2015-12-28 15:49:11.036000
28.65631,77.23175,AB,2015-12-28 15:49:11.036000
51.64758,-0.16545,Augusto,2015-12-28 15:49:11.036000
28.54357,77.21096,CJ,2015-12-28 15:49:11.036000
28.5187918,77.1561141,RG,2015-12-28 15:49:11.036000
,,tools,2015-12-28 15:49:11.036000
28.5119435,77.167222,rk,2015-12-28 15:49:11.036000
28.6296351,77.2308247,ASGA,2015-12-28 15:49:11.052000
28.62977,77.23041,ASG,2015-12-28 17:38:50.783000
28.65631,77.23175,AB,2015-12-28 17:38:50.786000
51.64758,-0.16545,Augusto,2015-12-28 17:38:50.787000
28.54357,77.21096,CJ,2015-12-28 17:38:50.788000
28.5187918,77.1561141,RG,2015-12-28 17:38:50.788000
,,tools,2015-12-28 17:38:50.789000
28.5119672,77.1670723,rk,2015-12-28 17:38:50.789000
28.62977,77.23041,ASG,2015-12-28 17:40:35.413000
28.65631,77.23175,AB,2015-12-28 17:40:35.417000
51.64758,-0.16545,Augusto,2015-12-28 17:40:35.418000
28.54357,77.21096,CJ,2015-12-28 17:40:35.418000
28.5187918,77.1561141,RG,2015-12-28 17:40:35.419000
,,tools,2015-12-28 17:40:35.420000
28.5119649,77.1670786,rk,2015-12-28 17:40:35.420000
28.62977,77.23041,ASG,2015-12-28 17:46:54.305000
28.65631,77.23175,AB,2015-12-28 17:46:54.306000
51.64758,-0.16545,Augusto,2015-12-28 17:46:54.307000
28.54357,77.21096,CJ,2015-12-28 17:46:54.307000
28.5187918,77.1561141,RG,2015-12-28 17:46:54.307000
,,tools,2015-12-28 17:46:54.307000
28.5119749,77.1670744,rk,2015-12-28 17:46:54.307000
28.62977,77.23041,ASG,2015-12-28 17:56:24.240000
28.65631,77.23175,AB,2015-12-28 17:56:24.245000
51.64758,-0.16545,Augusto,2015-12-28 17:56:24.246000
28.54357,77.21096,CJ,2015-12-28 17:56:24.246000
28.5187918,77.1561141,RG,2015-12-28 17:56:24.247000
,,tools,2015-12-28 17:56:24.248000
28.5119682,77.167093,rk,2015-12-28 17:56:24.249000
28.62977,77.23041,ASG,2015-12-28 17:56:54.656000
28.65631,77.23175,AB,2015-12-28 17:56:54.657000
51.64758,-0.16545,Augusto,2015-12-28 17:56:54.657000
28.54357,77.21096,CJ,2015-12-28 17:56:54.657000
28.5187918,77.1561141,RG,2015-12-28 17:56:54.657000
,,tools,2015-12-28 17:56:54.657000
28.5119682,77.167093,rk,2015-12-28 17:56:54.657000
28.62977,77.23041,ASG,2015-12-28 17:57:17.554000
28.65631,77.23175,AB,2015-12-28 17:57:17.556000
51.64758,-0.16545,Augusto,2015-12-28 17:57:17.557000
28.54357,77.21096,CJ,2015-12-28 17:57:17.558000
28.5187918,77.1561141,RG,2015-12-28 17:57:17.558000
